,School Name,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort
89,EAST SIDE COMMUNITY SCHOOL,2003,5 Year,Female,34,28,82.40%
90,EAST SIDE COMMUNITY SCHOOL,2003,6 Year,Female,33,28,84.80%
91,EAST SIDE COMMUNITY SCHOOL,2004,4 Year  June,Female,45,31,68.90%
92,EAST SIDE COMMUNITY SCHOOL,2004,5 Year,Female,42,33,78.60%
93,EAST SIDE COMMUNITY SCHOOL,2004,6 Year,Female,42,33,78.60%
94,EAST SIDE COMMUNITY SCHOOL,2005,4 Year  June,Female,47,36,76.60%
95,EAST SIDE COMMUNITY SCHOOL,2005,4 Year August,Female,47,36,76.60%
96,EAST SIDE COMMUNITY SCHOOL,2005,5 Year,Female,48,37,77.10%
97,EAST SIDE COMMUNITY SCHOOL,2005,6 Year,Female,48,38,79.20%
98,EAST SIDE COMMUNITY SCHOOL,2006,4 Year  June,Female,41,33,80.50%
99,EAST SIDE COMMUNITY SCHOOL,2006,4 Year August,Female,41,33,80.50%
100,EAST SIDE COMMUNITY SCHOOL,2006,5 Year  June,Female,41,35,85.40%
101,EAST SIDE COMMUNITY SCHOOL,2006,5 Year August,Female,41,37,90.20%
102,EAST SIDE COMMUNITY SCHOOL,2007,4 Year  June,Female,51,31,60.80%
103,EAST SIDE COMMUNITY SCHOOL,2007,4 Year August,Female,51,37,72.50%
104,EAST SIDE COMMUNITY SCHOOL,2001,4 Year  June,Male,28,20,71.40%
105,EAST SIDE COMMUNITY SCHOOL,2001,5 Year,Male,28,24,85.70%
106,EAST SIDE COMMUNITY SCHOOL,2001,6 Year,Male,28,25,89.30%
107,EAST SIDE COMMUNITY SCHOOL,2002,4 Year  June,Male,39,23,59.00%
108,EAST SIDE COMMUNITY SCHOOL,2002,5 Year,Male,39,28,71.80%
109,EAST SIDE COMMUNITY SCHOOL,2002,6 Year,Male,39,29,74.40%
110,EAST SIDE COMMUNITY SCHOOL,2003,4 Year  June,Male,45,25,55.60%
111,EAST SIDE COMMUNITY SCHOOL,2003,5 Year,Male,45,31,68.90%
112,EAST SIDE COMMUNITY SCHOOL,2003,6 Year,Male,45,31,68.90%
113,EAST SIDE COMMUNITY SCHOOL,2004,4 Year  June,Male,35,27,77.10%
114,EAST SIDE COMMUNITY SCHOOL,2004,5 Year,Male,35,29,82.90%
115,EAST SIDE COMMUNITY SCHOOL,2004,6 Year,Male,36,30,83.30%
116,EAST SIDE COMMUNITY SCHOOL,2005,4 Year  June,Male,38,25,65.80%
117,EAST SIDE COMMUNITY SCHOOL,2005,4 Year August,Male,38,26,68.40%
118,EAST SIDE COMMUNITY SCHOOL,2005,5 Year,Male,38,26,68.40%
119,EAST SIDE COMMUNITY SCHOOL,2005,6 Year,Male,38,26,68.40%
120,EAST SIDE COMMUNITY SCHOOL,2006,4 Year  June,Male,49,37,75.50%
121,EAST SIDE COMMUNITY SCHOOL,2006,4 Year August,Male,49,38,77.60%
122,EAST SIDE COMMUNITY SCHOOL,2006,5 Year  June,Male,50,40,80.00%
123,EAST SIDE COMMUNITY SCHOOL,2006,5 Year August,Male,50,40,80.00%
124,EAST SIDE COMMUNITY SCHOOL,2007,4 Year  June,Male,38,25,65.80%
125,EAST SIDE COMMUNITY SCHOOL,2007,4 Year August,Male,38,26,68.40%
126,MARTA VALLE SECONDARY SCHOOL,2001,4 Year  June,Female,31,18,58.10%
127,MARTA VALLE SECONDARY SCHOOL,2001,5 Year,Female,31,20,64.50%
128,MARTA VALLE SECONDARY SCHOOL,2001,6 Year,Female,31,22,71.00%
129,MARTA VALLE SECONDARY SCHOOL,2002,4 Year  June,Female,31,14,45.20%
130,MARTA VALLE SECONDARY SCHOOL,2002,5 Year,Female,31,18,58.10%
131,MARTA VALLE SECONDARY SCHOOL,2002,6 Year,Female,31,18,58.10%
132,MARTA VALLE SECONDARY SCHOOL,2003,4 Year  June,Female,41,22,53.70%
133,MARTA VALLE SECONDARY SCHOOL,2003,5 Year,Female,41,26,63.40%
134,MARTA VALLE SECONDARY SCHOOL,2003,6 Year,Female,39,26,66.70%
135,MARTA VALLE SECONDARY SCHOOL,2004,4 Year  June,Female,32,19,59.40%
136,MARTA VALLE SECONDARY SCHOOL,2004,5 Year,Female,31,23,74.20%
137,MARTA VALLE SECONDARY SCHOOL,2004,6 Year,Female,31,25,80.60%
138,MARTA VALLE SECONDARY SCHOOL,2005,4 Year  June,Female,38,26,68.40%
139,MARTA VALLE SECONDARY SCHOOL,2005,4 Year August,Female,38,29,76.30%
140,MARTA VALLE SECONDARY SCHOOL,2005,5 Year,Female,39,30,76.90%
141,MARTA VALLE SECONDARY SCHOOL,2005,6 Year,Female,39,30,76.90%
142,MARTA VALLE SECONDARY SCHOOL,2006,4 Year  June,Female,45,31,68.90%
143,MARTA VALLE SECONDARY SCHOOL,2006,4 Year August,Female,45,31,68.90%
144,MARTA VALLE SECONDARY SCHOOL,2006,5 Year  June,Female,45,36,80.00%
145,MARTA VALLE SECONDARY SCHOOL,2006,5 Year August,Female,45,37,82.20%
146,MARTA VALLE SECONDARY SCHOOL,2007,4 Year  June,Female,36,20,55.60%
147,MARTA VALLE SECONDARY SCHOOL,2007,4 Year August,Female,36,24,66.70%
148,MARTA VALLE SECONDARY SCHOOL,2001,4 Year  June,Male,38,16,42.10%
149,MARTA VALLE SECONDARY SCHOOL,2001,5 Year,Male,38,25,65.80%
150,MARTA VALLE SECONDARY SCHOOL,2001,6 Year,Male,38,25,65.80%
151,MARTA VALLE SECONDARY SCHOOL,2002,4 Year  June,Male,24,8,33.30%
152,MARTA VALLE SECONDARY SCHOOL,2002,5 Year,Male,24,15,62.50%
153,MARTA VALLE SECONDARY SCHOOL,2002,6 Year,Male,24,16,66.70%
154,MARTA VALLE SECONDARY SCHOOL,2003,4 Year  June,Male,29,9,31.00%
155,MARTA VALLE SECONDARY SCHOOL,2003,5 Year,Male,29,15,51.70%
156,MARTA VALLE SECONDARY SCHOOL,2003,6 Year,Male,29,16,55.20%
157,MARTA VALLE SECONDARY SCHOOL,2004,4 Year  June,Male,33,10,30.30%
158,MARTA VALLE SECONDARY SCHOOL,2004,5 Year,Male,33,11,33.30%
159,MARTA VALLE SECONDARY SCHOOL,2004,6 Year,Male,34,13,38.20%
160,MARTA VALLE SECONDARY SCHOOL,2005,4 Year  June,Male,50,23,46.00%
161,MARTA VALLE SECONDARY SCHOOL,2005,4 Year August,Male,50,28,56.00%
162,MARTA VALLE SECONDARY SCHOOL,2005,5 Year,Male,51,34,66.70%
163,MARTA VALLE SECONDARY SCHOOL,2005,6 Year,Male,51,36,70.60%
164,MARTA VALLE SECONDARY SCHOOL,2006,4 Year  June,Male,39,16,41.00%
165,MARTA VALLE SECONDARY SCHOOL,2006,4 Year August,Male,39,19,48.70%
166,MARTA VALLE SECONDARY SCHOOL,2006,5 Year  June,Male,41,21,51.20%
167,MARTA VALLE SECONDARY SCHOOL,2006,5 Year August,Male,41,22,53.70%
168,MARTA VALLE SECONDARY SCHOOL,2007,4 Year  June,Male,59,27,45.80%
169,MARTA VALLE SECONDARY SCHOOL,2007,4 Year August,Male,59,29,49.20%
170,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,4 Year  June,Female,84,47,56.00%
171,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,5 Year,Female,84,58,69.00%
172,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,6 Year,Female,84,61,72.60%
173,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,4 Year  June,Female,90,43,47.80%
174,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,5 Year,Female,90,59,65.60%
175,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,6 Year,Female,90,62,68.90%
176,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,4 Year  June,Female,89,54,60.70%
177,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,5 Year,Female,89,59,66.30%
178,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,6 Year,Female,90,62,68.90%
179,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,4 Year  June,Female,101,57,56.40%
180,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,5 Year,Female,102,72,70.60%
181,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,6 Year,Female,103,74,71.80%
182,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,4 Year  June,Female,73,38,52.10%
183,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,4 Year August,Female,73,42,57.50%
184,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,5 Year,Female,76,51,67.10%
185,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,6 Year,Female,84,60,71.40%
186,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,4 Year  June,Female,101,65,64.40%
187,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,4 Year August,Female,101,65,64.40%
188,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,5 Year  June,Female,148,92,62.20%
189,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,5 Year August,Female,148,95,64.20%
190,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,4 Year  June,Female,121,41,33.90%
191,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,4 Year August,Female,121,44,36.40%
192,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,4 Year  June,Male,82,41,50.00%
193,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,5 Year,Male,82,50,61.00%
194,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,6 Year,Male,82,56,68.30%
195,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,4 Year  June,Male,82,34,41.50%
196,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,5 Year,Male,82,50,61.00%
197,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,6 Year,Male,82,54,65.90%
198,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,4 Year  June,Male,116,32,27.60%
199,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,5 Year,Male,116,47,40.50%
200,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,6 Year,Male,117,58,49.60%
201,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,4 Year  June,Male,99,40,40.40%
202,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,5 Year,Male,102,54,52.90%
203,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,6 Year,Male,105,55,52.40%
204,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,4 Year  June,Male,81,32,39.50%
205,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,4 Year August,Male,81,35,43.20%
206,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,5 Year,Male,91,53,58.20%
207,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,6 Year,Male,94,63,67.00%
208,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,4 Year  June,Male,92,40,43.50%
209,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,4 Year August,Male,92,40,43.50%
210,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,5 Year  June,Male,145,66,45.50%
211,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,5 Year August,Male,145,70,48.30%
212,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,4 Year  June,Male,114,33,28.90%
213,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,4 Year August,Male,114,37,32.50%
214,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,4 Year  June,Female,12, s ,s
215,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,5 Year,Female,12, s ,s
216,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,6 Year,Female,12, s ,s
220,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,4 Year  June,Female,24,24,100.00%
221,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,5 Year,Female,24,24,100.00%
222,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,6 Year,Female,24,24,100.00%
223,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,4 Year  June,Female,29,28,96.60%
224,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,5 Year,Female,29,28,96.60%
225,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,6 Year,Female,29,28,96.60%
226,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,4 Year  June,Female,26,25,96.20%
227,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,4 Year August,Female,26,26,100.00%
228,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,5 Year,Female,26,26,100.00%
229,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,6 Year,Female,26,26,100.00%
230,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,4 Year  June,Female,22,22,100.00%
231,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,4 Year August,Female,22,22,100.00%
232,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,5 Year  June,Female,22,22,100.00%
233,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,5 Year August,Female,22,22,100.00%
234,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,4 Year  June,Female,59,57,96.60%
235,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,4 Year August,Female,59,57,96.60%
242,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,4 Year  June,Male,34,34,100.00%
243,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,5 Year,Male,34,34,100.00%
244,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,6 Year,Male,34,34,100.00%
245,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,4 Year  June,Male,31,30,96.80%
246,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,5 Year,Male,31,30,96.80%
247,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,6 Year,Male,31,30,96.80%
248,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,4 Year  June,Male,23,22,95.70%
249,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,4 Year August,Male,23,23,100.00%
250,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,5 Year,Male,23,23,100.00%
251,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,6 Year,Male,23,23,100.00%
252,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,4 Year  June,Male,24,24,100.00%
253,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,4 Year August,Male,24,24,100.00%
254,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,5 Year  June,Male,24,24,100.00%
255,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,5 Year August,Male,24,24,100.00%
256,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,4 Year  June,Male,69,65,94.20%
257,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,4 Year August,Male,69,65,94.20%
258,CASCADES HIGH SCHOOL,2001,4 Year  June,Female,45,16,35.60%
259,CASCADES HIGH SCHOOL,2001,5 Year,Female,45,23,51.10%
260,CASCADES HIGH SCHOOL,2001,6 Year,Female,45,26,57.80%
261,CASCADES HIGH SCHOOL,2002,4 Year  June,Female,49,16,32.70%
262,CASCADES HIGH SCHOOL,2002,5 Year,Female,49,27,55.10%
263,CASCADES HIGH SCHOOL,2002,6 Year,Female,49,32,65.30%
264,CASCADES HIGH SCHOOL,2003,4 Year  June,Female,55,16,29.10%
265,CASCADES HIGH SCHOOL,2003,5 Year,Female,55,37,67.30%
266,CASCADES HIGH SCHOOL,2003,6 Year,Female,60,47,78.30%
267,CASCADES HIGH SCHOOL,2004,4 Year  June,Female,46,21,45.70%
268,CASCADES HIGH SCHOOL,2004,5 Year,Female,56,42,75.00%
269,CASCADES HIGH SCHOOL,2004,6 Year,Female,56,46,82.10%
270,CASCADES HIGH SCHOOL,2005,4 Year  June,Female,66,23,34.80%
271,CASCADES HIGH SCHOOL,2005,4 Year August,Female,66,25,37.90%
272,CASCADES HIGH SCHOOL,2005,5 Year,Female,79,46,58.20%
273,CASCADES HIGH SCHOOL,2005,6 Year,Female,80,59,73.80%
274,CASCADES HIGH SCHOOL,2006,4 Year  June,Female,55,34,61.80%
275,CASCADES HIGH SCHOOL,2006,4 Year August,Female,55,34,61.80%
276,CASCADES HIGH SCHOOL,2006,5 Year  June,Female,77,54,70.10%
277,CASCADES HIGH SCHOOL,2006,5 Year August,Female,77,54,70.10%
278,CASCADES HIGH SCHOOL,2007,4 Year  June,Female,67,25,37.30%
279,CASCADES HIGH SCHOOL,2007,4 Year August,Female,67,27,40.30%
280,CASCADES HIGH SCHOOL,2001,4 Year  June,Male,41,11,26.80%
281,CASCADES HIGH SCHOOL,2001,5 Year,Male,41,19,46.30%
282,CASCADES HIGH SCHOOL,2001,6 Year,Male,41,20,48.80%
283,CASCADES HIGH SCHOOL,2002,4 Year  June,Male,43,6,14.00%
284,CASCADES HIGH SCHOOL,2002,5 Year,Male,43,17,39.50%
285,CASCADES HIGH SCHOOL,2002,6 Year,Male,43,27,62.80%
286,CASCADES HIGH SCHOOL,2003,4 Year  June,Male,38,11,28.90%
287,CASCADES HIGH SCHOOL,2003,5 Year,Male,38,25,65.80%
288,CASCADES HIGH SCHOOL,2003,6 Year,Male,42,31,73.80%
289,CASCADES HIGH SCHOOL,2004,4 Year  June,Male,21,7,33.30%
290,CASCADES HIGH SCHOOL,2004,5 Year,Male,31,17,54.80%
291,CASCADES HIGH SCHOOL,2004,6 Year,Male,33,25,75.80%
292,CASCADES HIGH SCHOOL,2005,4 Year  June,Male,29,8,27.60%
293,CASCADES HIGH SCHOOL,2005,4 Year August,Male,29,9,31.00%
294,CASCADES HIGH SCHOOL,2005,5 Year,Male,36,21,58.30%
295,CASCADES HIGH SCHOOL,2005,6 Year,Male,35,26,74.30%
296,CASCADES HIGH SCHOOL,2006,4 Year  June,Male,34,15,44.10%
297,CASCADES HIGH SCHOOL,2006,4 Year August,Male,34,15,44.10%
298,CASCADES HIGH SCHOOL,2006,5 Year  June,Male,61,43,70.50%
299,CASCADES HIGH SCHOOL,2006,5 Year August,Male,61,44,72.10%
300,CASCADES HIGH SCHOOL,2007,4 Year  June,Male,51,20,39.20%
301,CASCADES HIGH SCHOOL,2007,4 Year August,Male,51,23,45.10%
302,BARD HIGH SCHOOL EARLY COLLEGE,2001,4 Year  June,Female,75,72,96.00%
303,BARD HIGH SCHOOL EARLY COLLEGE,2001,5 Year,Female,75,73,97.30%
304,BARD HIGH SCHOOL EARLY COLLEGE,2001,6 Year,Female,75,73,97.30%
